ranks,views,article,,,,,
108,1049092,Ram Setu (film),Ram_Setu_(film),"""",Ram_Setu_(film),""",","""Ram_Setu_(film)"","
109,1045981,List of serial killers by number of victims,List_of_serial_killers_by_number_of_victims,"""",List_of_serial_killers_by_number_of_victims,""",","""List_of_serial_killers_by_number_of_victims"","
110,1043140,Halloween (franchise),Halloween_(franchise),"""",Halloween_(franchise),""",","""Halloween_(franchise)"","
111,1039688,Kwasi Kwarteng,Kwasi_Kwarteng,"""",Kwasi_Kwarteng,""",","""Kwasi_Kwarteng"","
112,1037889,Gmail,Gmail,"""",Gmail,""",","""Gmail"","
113,1028919,Bigg Boss (Hindi season 16),Bigg_Boss_(Hindi_season_16),"""",Bigg_Boss_(Hindi_season_16),""",","""Bigg_Boss_(Hindi_season_16)"","
114,1021306,Russia,Russia,"""",Russia,""",","""Russia"","
115,1011792,XXXTentacion,XXXTentacion,"""",XXXTentacion,""",","""XXXTentacion"","
116,1010099,Terrifier,Terrifier,"""",Terrifier,""",","""Terrifier"","
117,1002804,CEO,CEO,"""",CEO,""",","""CEO"","
118,997838,Boris Johnson,Boris_Johnson,"""",Boris_Johnson,""",","""Boris_Johnson"","
119,994420,Extreme Rules (2022),Extreme_Rules_(2022),"""",Extreme_Rules_(2022),""",","""Extreme_Rules_(2022)"","
120,989200,Blonde (2022 film),Blonde_(2022_film),"""",Blonde_(2022_film),""",","""Blonde_(2022_film)"","
121,972154,Tulsi Gabbard,Tulsi_Gabbard,"""",Tulsi_Gabbard,""",","""Tulsi_Gabbard"","
122,963696,Guillermo del Toro's Cabinet of Curiosities,Guillermo_del_Toro's_Cabinet_of_Curiosities,"""",Guillermo_del_Toro's_Cabinet_of_Curiosities,""",","""Guillermo_del_Toro's_Cabinet_of_Curiosities"","
123,960831,Islam Makhachev,Islam_Makhachev,"""",Islam_Makhachev,""",","""Islam_Makhachev"","
124,946090,Russo-Ukrainian War,Russo-Ukrainian_War,"""",Russo-Ukrainian_War,""",","""Russo-Ukrainian_War"","
125,944349,Mila Kunis,Mila_Kunis,"""",Mila_Kunis,""",","""Mila_Kunis"","
126,937662,YouTube Music,YouTube_Music,"""",YouTube_Music,""",","""YouTube_Music"","
127,934385,Susan Wojcicki,Susan_Wojcicki,"""",Susan_Wojcicki,""",","""Susan_Wojcicki"","
129,928357,Bobby Cannavale,Bobby_Cannavale,"""",Bobby_Cannavale,""",","""Bobby_Cannavale"","
130,927367,Necrophilia,Necrophilia,"""",Necrophilia,""",","""Necrophilia"","
132,914230,Xi Jinping,Xi_Jinping,"""",Xi_Jinping,""",","""Xi_Jinping"","
133,911514,American Horror Story,American_Horror_Story,"""",American_Horror_Story,""",","""American_Horror_Story"","
134,906554,YouTube Premium,YouTube_Premium,"""",YouTube_Premium,""",","""YouTube_Premium"","
135,904954,Chainsaw Man,Chainsaw_Man,"""",Chainsaw_Man,""",","""Chainsaw_Man"","
136,897739,Jeremy Hunt,Jeremy_Hunt,"""",Jeremy_Hunt,""",","""Jeremy_Hunt"","
137,891703,Gisele Bündchen,Gisele_Bündchen,"""",Gisele_Bündchen,""",","""Gisele_Bündchen"","
138,885171,Adipurush,Adipurush,"""",Adipurush,""",","""Adipurush"","
139,879296,Olivia Cooke,Olivia_Cooke,"""",Olivia_Cooke,""",","""Olivia_Cooke"","
140,873698,The School for Good and Evil (film),The_School_for_Good_and_Evil_(film),"""",The_School_for_Good_and_Evil_(film),""",","""The_School_for_Good_and_Evil_(film)"","
141,873027,World War II,World_War_II,"""",World_War_II,""",","""World_War_II"","
142,870355,Ukraine,Ukraine,"""",Ukraine,""",","""Ukraine"","
143,869521,Video hosting service,Video_hosting_service,"""",Video_hosting_service,""",","""Video_hosting_service"","
144,862681,XXXX,XXXX,"""",XXXX,""",","""XXXX"","
145,862627,Luiz Inácio Lula da Silva,Luiz_Inácio_Lula_da_Silva,"""",Luiz_Inácio_Lula_da_Silva,""",","""Luiz_Inácio_Lula_da_Silva"","
146,861953,Coolio,Coolio,"""",Coolio,""",","""Coolio"","
147,858431,The Good Nurse,The_Good_Nurse,"""",The_Good_Nurse,""",","""The_Good_Nurse"","
148,857627,Laal Singh Chaddha,Laal_Singh_Chaddha,"""",Laal_Singh_Chaddha,""",","""Laal_Singh_Chaddha"","
149,850258,UEFA Champions League,UEFA_Champions_League,"""",UEFA_Champions_League,""",","""UEFA_Champions_League"","
150,847598,Game of Thrones,Game_of_Thrones,"""",Game_of_Thrones,""",","""Game_of_Thrones"","
151,845830,Vladimir Putin,Vladimir_Putin,"""",Vladimir_Putin,""",","""Vladimir_Putin"","
152,843751,Matt Smith,Matt_Smith,"""",Matt_Smith,""",","""Matt_Smith"","
153,842081,2022 Formula One World Championship,2022_Formula_One_World_Championship,"""",2022_Formula_One_World_Championship,""",","""2022_Formula_One_World_Championship"","
154,841288,Amsterdam (2022 film),Amsterdam_(2022_film),"""",Amsterdam_(2022_film),""",","""Amsterdam_(2022_film)"","
155,825807,World War I,World_War_I,"""",World_War_I,""",","""World_War_I"","
156,824301,Olivia Wilde,Olivia_Wilde,"""",Olivia_Wilde,""",","""Olivia_Wilde"","
157,822841,Blink-182,Blink-182,"""",Blink-182,""",","""Blink-182"","
158,814088,Cat,Cat,"""",Cat,""",","""Cat"","
159,813190,Top Gun: Maverick,Top_Gun:_Maverick,"""",Top_Gun:_Maverick,""",","""Top_Gun:_Maverick"","
160,804787,Ballon d'Or,Ballon_d'Or,"""",Ballon_d'Or,""",","""Ballon_d'Or"","
161,802411,The Empress (TV series),The_Empress_(TV_series),"""",The_Empress_(TV_series),""",","""The_Empress_(TV_series)"","
162,793834,Call of Duty: Modern Warfare II (2022 video game),Call_of_Duty:_Modern_Warfare_II_(2022_video_game),"""",Call_of_Duty:_Modern_Warfare_II_(2022_video_game),""",","""Call_of_Duty:_Modern_Warfare_II_(2022_video_game)"","
163,793594,Stoneman Douglas High School shooting,Stoneman_Douglas_High_School_shooting,"""",Stoneman_Douglas_High_School_shooting,""",","""Stoneman_Douglas_High_School_shooting"","
164,790408,Hu Jintao,Hu_Jintao,"""",Hu_Jintao,""",","""Hu_Jintao"","
165,789597,List of prime ministers of the United Kingdom,List_of_prime_ministers_of_the_United_Kingdom,"""",List_of_prime_ministers_of_the_United_Kingdom,""",","""List_of_prime_ministers_of_the_United_Kingdom"","
166,787868,Dancing with the Stars (American season 31),Dancing_with_the_Stars_(American_season_31),"""",Dancing_with_the_Stars_(American_season_31),""",","""Dancing_with_the_Stars_(American_season_31)"","
167,787176,"Princess Margaret, Countess of Snowdon","Princess_Margaret,_Countess_of_Snowdon","""","Princess_Margaret,_Countess_of_Snowdon",""",","""Princess_Margaret,_Countess_of_Snowdon"","
168,787155,Naomi Watts,Naomi_Watts,"""",Naomi_Watts,""",","""Naomi_Watts"","
169,780481,Julia Roberts,Julia_Roberts,"""",Julia_Roberts,""",","""Julia_Roberts"","
170,778285,Emmett Till,Emmett_Till,"""",Emmett_Till,""",","""Emmett_Till"","
171,775639,John Balcerzak,John_Balcerzak,"""",John_Balcerzak,""",","""John_Balcerzak"","
172,772010,Raindrop cake,Raindrop_cake,"""",Raindrop_cake,""",","""Raindrop_cake"","
